epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,556.774,1.78682,2.3134,1.51928,0.17686,0.20833,0.1944,0.06822,1.57373,2.20694,1.42871,0.008581,0.008581,0.008581
45,569.332,1.43064,2.00495,1.39769,0.18977,0.16667,0.18596,0.06793,1.4411,2.69335,1.35095,0.008548,0.008548,0.008548
46,581.904,1.49529,2.1599,1.3883,0.17029,0.125,0.1036,0.04792,1.33989,4.95639,1.28142,0.008515,0.008515,0.008515
47,594.639,1.60343,2.1664,1.51585,0.16041,0.16667,0.13452,0.05246,1.37057,5.78181,1.32878,0.008482,0.008482,0.008482
48,607.117,1.43618,1.94586,1.41891,0.14461,0.16667,0.17282,0.07272,1.46534,2.54152,1.36975,0.008449,0.008449,0.008449
49,619.628,1.44723,2.02609,1.34015,0.10655,0.25,0.14914,0.0543,1.4565,2.7067,1.40051,0.008416,0.008416,0.008416
50,632.107,1.52801,2.19826,1.48112,0.15286,0.375,0.18166,0.07631,1.38066,8.26607,1.3356,0.008383,0.008383,0.008383
51,644.766,1.54986,2.12659,1.36785,0.24087,0.29089,0.2244,0.09425,1.37977,4.53763,1.30961,0.00835,0.00835,0.00835
52,657.263,1.63404,2.18892,1.36298,0.22905,0.20833,0.25352,0.10164,1.35452,3.77357,1.28402,0.008317,0.008317,0.008317
53,669.746,1.5888,2.10844,1.48481,0.23327,0.16667,0.15884,0.05775,1.37221,5.14873,1.33158,0.008284,0.008284,0.008284
54,682.288,1.74904,2.24265,1.67977,0.12764,0.5,0.17807,0.07429,1.42373,4.3703,1.35319,0.008251,0.008251,0.008251
55,694.823,1.69836,2.38364,1.53807,0.21317,0.20833,0.23442,0.08765,1.4331,2.47184,1.37407,0.008218,0.008218,0.008218
56,707.245,1.23798,1.84996,1.13073,0.24212,0.20833,0.28336,0.11127,1.39043,2.19238,1.3456,0.008185,0.008185,0.008185
57,720.169,1.34266,1.84085,1.20578,0.22611,0.25,0.31069,0.13281,1.3848,3.29376,1.30803,0.008152,0.008152,0.008152
58,733.417,1.54657,2.0035,1.33082,0.12562,0.75,0.24052,0.09775,1.46809,2.21803,1.34417,0.008119,0.008119,0.008119
59,746.056,1.69486,2.16782,1.56125,0.20694,0.33333,0.28366,0.12426,1.42559,2.79098,1.31633,0.008086,0.008086,0.008086
60,758.574,1.81189,2.18941,1.7609,0.24457,0.56674,0.29041,0.09907,1.4293,3.53775,1.32964,0.008053,0.008053,0.008053
61,771.066,1.66827,2.10111,1.48278,0.19728,0.29167,0.26409,0.09345,1.43704,2.87728,1.33168,0.00802,0.00802,0.00802
62,783.678,1.59846,1.95966,1.40292,0.1757,0.30215,0.23822,0.10774,1.40643,2.60307,1.29971,0.007987,0.007987,0.007987
63,796.162,1.85399,2.40236,1.67152,0.32112,0.375,0.27831,0.13343,1.33737,2.24986,1.27474,0.007954,0.007954,0.007954
64,808.757,1.60585,2.18579,1.55691,0.22303,0.25,0.2685,0.1235,1.2785,11.9259,1.25141,0.007921,0.007921,0.007921
65,821.299,1.66596,2.04252,1.45247,0.15703,0.08333,0.21134,0.09798,1.38869,5.1444,1.30404,0.007888,0.007888,0.007888
66,833.849,1.76616,2.17248,1.58492,0.18709,0.41667,0.17915,0.07029,1.50815,2.37379,1.38262,0.007855,0.007855,0.007855
67,846.452,1.33709,2.1851,1.3487,0.20064,0.45833,0.23956,0.10436,1.41608,2.48044,1.36646,0.007822,0.007822,0.007822
68,858.948,1.56494,1.89182,1.43697,0.15417,0.25,0.21445,0.0928,1.4074,2.44601,1.34808,0.007789,0.007789,0.007789
