epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,375.91,1.83334,2.20253,1.57592,0.21396,0.29167,0.23961,0.11367,1.36352,3.21415,1.3498,0.008581,0.008581,0.008581
45,384.308,1.46817,2.24,1.48312,0.3287,0.20833,0.21111,0.09485,1.40373,6.08844,1.34967,0.008548,0.008548,0.008548
46,392.729,1.47502,2.31967,1.4137,0.29135,0.125,0.21443,0.09848,1.29969,4.6025,1.32623,0.008515,0.008515,0.008515
47,401.203,1.6848,2.3932,1.60105,0.30658,0.20833,0.19003,0.08022,1.37619,2.58194,1.37312,0.008482,0.008482,0.008482
48,409.729,1.45983,1.88326,1.49099,0.36845,0.20833,0.22097,0.09003,1.48449,2.66229,1.36795,0.008449,0.008449,0.008449
49,418.399,1.4117,2.06878,1.33488,0.43481,0.20833,0.21713,0.10131,1.42664,4.86362,1.32254,0.008416,0.008416,0.008416
50,426.953,1.58475,2.40877,1.51146,0.32738,0.20833,0.19036,0.09799,1.34604,11.6088,1.2787,0.008383,0.008383,0.008383
51,435.478,1.60451,2.2122,1.41221,0.26074,0.20833,0.2338,0.12422,1.34868,2.7142,1.267,0.00835,0.00835,0.00835
52,443.885,1.61755,2.1468,1.35806,0.3799,0.25,0.26172,0.11592,1.37325,2.11698,1.26985,0.008317,0.008317,0.008317
53,452.294,1.4987,2.15001,1.45347,0.29696,0.16667,0.1768,0.07218,1.37858,2.13566,1.30402,0.008284,0.008284,0.008284
54,460.792,1.79211,2.3136,1.69412,0.31311,0.25,0.24403,0.10379,1.49909,4.42057,1.35417,0.008251,0.008251,0.008251
55,469.257,1.82473,2.53016,1.64101,0.35385,0.20833,0.20351,0.06609,1.68462,3.45947,1.50046,0.008218,0.008218,0.008218
56,477.68,1.36362,1.84035,1.18132,0.1524,0.16667,0.18037,0.07582,1.48241,5.30593,1.35835,0.008185,0.008185,0.008185
57,485.992,1.39691,1.93385,1.27136,0.28681,0.33333,0.26359,0.09782,1.46482,8.55343,1.36498,0.008152,0.008152,0.008152
58,494.426,1.70682,2.15337,1.50099,0.22983,0.41667,0.23254,0.08931,1.52161,2.23838,1.4065,0.008119,0.008119,0.008119
59,502.844,1.76441,2.88591,1.65202,0.24088,0.29167,0.24514,0.08813,1.35255,4.2347,1.30304,0.008086,0.008086,0.008086
