epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,682.713,1.82098,2.13977,1.54627,0.22187,0.45833,0.2466,0.09925,1.56068,2.14596,1.44973,0.008581,0.008581,0.008581
45,698.137,1.46794,2.10209,1.43903,0.4512,0.20833,0.25504,0.09709,1.4774,2.76467,1.39582,0.008548,0.008548,0.008548
46,713.426,1.52331,2.11321,1.41271,0.3804,0.16667,0.20641,0.08781,1.33669,5.85247,1.29093,0.008515,0.008515,0.008515
47,728.849,1.64214,2.28088,1.52954,0.30153,0.20833,0.2445,0.09932,1.34466,2.87111,1.27933,0.008482,0.008482,0.008482
48,744.098,1.48891,1.92539,1.43818,0.27568,0.20833,0.23868,0.09273,1.36984,4.52169,1.30265,0.008449,0.008449,0.008449
49,759.209,1.3762,2.17691,1.30897,0.16788,0.45833,0.20024,0.08422,1.39022,2.59422,1.3109,0.008416,0.008416,0.008416
50,774.388,1.64013,2.18445,1.57372,0.28983,0.20833,0.21916,0.1078,1.39651,3.7805,1.2773,0.008383,0.008383,0.008383
51,789.328,1.46031,2.00627,1.33703,0.30884,0.22397,0.30337,0.13187,1.32562,3.24767,1.30296,0.00835,0.00835,0.00835
52,804.826,1.57899,2.2735,1.37296,0.34635,0.25,0.32565,0.151,1.29369,4.63866,1.28915,0.008317,0.008317,0.008317
53,820.02,1.53398,2.16121,1.49661,0.39445,0.20833,0.28519,0.13441,1.43857,2.14348,1.31774,0.008284,0.008284,0.008284
54,835.442,1.84397,2.28136,1.71561,0.32221,0.20833,0.20433,0.07628,1.49155,3.71571,1.36712,0.008251,0.008251,0.008251
55,850.673,1.66874,3.04193,1.54488,0.25393,0.20833,0.17662,0.06197,1.47746,3.69216,1.38042,0.008218,0.008218,0.008218
56,865.453,1.2466,2.05411,1.1243,0.02967,1,0.2393,0.0869,1.35095,2.3211,1.31335,0.008185,0.008185,0.008185
57,879.752,1.37137,2.06554,1.26807,0.01146,1,0.27995,0.11553,1.28219,2.44224,1.26312,0.008152,0.008152,0.008152
58,895.525,1.62104,2.05448,1.42062,0.2144,0.58333,0.24897,0.11376,1.31149,3.45173,1.24874,0.008119,0.008119,0.008119
59,911.664,1.70797,2.1455,1.60757,0.18289,0.625,0.2881,0.12423,1.43628,2.56863,1.31415,0.008086,0.008086,0.008086
60,927.947,1.96595,2.28117,1.83341,0.34478,0.33333,0.29664,0.14802,1.42209,4.80527,1.32319,0.008053,0.008053,0.008053
61,944.1,1.77797,2.18325,1.5414,0.26917,0.35329,0.29605,0.15085,1.42238,10.1662,1.30284,0.00802,0.00802,0.00802
62,960.385,1.59906,2.00814,1.41876,0.67735,0.16667,0.28319,0.12428,1.47502,4.24704,1.34422,0.007987,0.007987,0.007987
63,977.174,1.8879,2.49838,1.73281,0.3272,0.16667,0.22234,0.10219,1.4493,3.98471,1.34026,0.007954,0.007954,0.007954
64,994.124,1.65483,2.19493,1.59821,0.30151,0.20833,0.20816,0.09614,1.36305,4.88004,1.29705,0.007921,0.007921,0.007921
65,1010.49,1.60886,1.9785,1.40653,0.48249,0.1952,0.31776,0.1323,1.40937,2.31179,1.30676,0.007888,0.007888,0.007888
66,1026.8,1.80264,2.30305,1.6198,0.24967,0.30533,0.23416,0.11184,1.46822,2.15858,1.33765,0.007855,0.007855,0.007855
67,1042.8,1.4007,2.66129,1.39026,0.24453,0.33333,0.25833,0.10876,1.42068,3.37685,1.31386,0.007822,0.007822,0.007822
68,1059.1,1.57932,2.34556,1.52806,0.32512,0.16667,0.18462,0.08584,1.36502,3.02067,1.28714,0.007789,0.007789,0.007789
69,1075.42,1.61428,2.09871,1.59213,0.2474,0.20833,0.20629,0.10162,1.3183,2.27583,1.24862,0.007756,0.007756,0.007756
70,1091.83,1.58544,2.22846,1.37051,0.13038,0.375,0.17319,0.08989,1.28617,3.56821,1.27059,0.007723,0.007723,0.007723
71,1107.92,1.29689,1.8367,1.27905,0.11265,0.70833,0.24905,0.12782,1.39318,2.34978,1.3281,0.00769,0.00769,0.00769
72,1124.04,1.37567,2.08104,1.25212,0.02277,0.95833,0.23113,0.11039,1.3105,2.14053,1.26252,0.007657,0.007657,0.007657
73,1140.33,1.71875,2.18258,1.61693,0.37921,0.28044,0.34218,0.13085,1.33195,2.89091,1.2725,0.007624,0.007624,0.007624
74,1157.24,1.70486,2.48599,1.50579,0.46259,0.20833,0.26605,0.11406,1.30902,6.09526,1.23215,0.007591,0.007591,0.007591
75,1173.7,1.67721,2.09023,1.43712,0.28362,0.29167,0.33057,0.15558,1.37245,2.8546,1.26693,0.007558,0.007558,0.007558
76,1190.67,1.62274,2.12316,1.47162,0.24715,0.33333,0.26894,0.11351,1.42197,3.08586,1.31024,0.007525,0.007525,0.007525
77,1206.78,1.22995,2.13603,1.05029,0.2555,0.33333,0.24965,0.10332,1.38498,2.53962,1.30285,0.007492,0.007492,0.007492
78,1222.9,1.45041,2.15335,1.33275,0.01377,0.95833,0.23517,0.119,1.35954,2.2205,1.27198,0.007459,0.007459,0.007459
79,1239.2,1.47465,2.02813,1.3937,0.26296,0.25,0.24433,0.1344,1.30942,2.32054,1.23335,0.007426,0.007426,0.007426
80,1255.31,1.48131,2.11267,1.31008,0.26694,0.1977,0.2105,0.12,1.33196,4.02689,1.21907,0.007393,0.007393,0.007393
81,1271.44,1.50435,1.90938,1.41055,0.37014,0.25,0.29489,0.14643,1.42749,2.06109,1.27705,0.00736,0.00736,0.00736
82,1287.75,1.67547,2.20414,1.46647,0.34312,0.29167,0.3153,0.15079,1.42245,2.01515,1.29591,0.007327,0.007327,0.007327
83,1303.95,1.53408,2.21274,1.51377,0.22303,0.20833,0.22906,0.1239,1.3588,7.07238,1.26889,0.007294,0.007294,0.007294
84,1320.08,1.5876,3.32889,1.41024,0.26626,0.20833,0.2145,0.10873,1.32822,8.28506,1.27503,0.007261,0.007261,0.007261
85,1336.25,1.20155,2.53497,1.13913,0.23264,0.41667,0.29753,0.14276,1.3378,3.75736,1.31102,0.007228,0.007228,0.007228
86,1352.42,1.31384,2.12671,1.20317,0.00422,0.95833,0.30872,0.15967,1.28606,2.65555,1.27534,0.007195,0.007195,0.007195
87,1369.52,1.36735,2.13796,1.35662,0.01949,0.95833,0.28576,0.14561,1.24131,2.28457,1.20557,0.007162,0.007162,0.007162
88,1385.62,1.28068,1.89244,1.2277,0.32635,0.18239,0.28609,0.13422,1.25762,2.13327,1.20756,0.007129,0.007129,0.007129
89,1402.04,1.51452,1.99914,1.4009,0.26906,0.20833,0.24532,0.13508,1.32536,2.14546,1.24561,0.007096,0.007096,0.007096
90,1418.44,1.57726,2.31442,1.42422,0.20423,0.59897,0.2484,0.11491,1.48049,3.95372,1.32198,0.007063,0.007063,0.007063
91,1434.98,1.67066,2.64842,1.48253,0.25266,0.625,0.30402,0.13274,1.47461,3.63843,1.30464,0.00703,0.00703,0.00703
92,1451.26,1.5481,2.02907,1.46307,0.1684,0.58333,0.17783,0.09098,1.46789,5.45968,1.28534,0.006997,0.006997,0.006997
93,1467.39,1.58228,2.17479,1.39341,0.12747,0.25,0.09685,0.04768,1.4528,3.89486,1.31401,0.006964,0.006964,0.006964
