epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,376.644,1.76917,2.70746,1.60385,0.15336,0.08333,0.14538,0.05311,1.53021,2.67595,1.5026,0.008581,0.008581,0.008581
45,385.265,1.43746,2.30521,1.43093,0.06485,0.79167,0.20654,0.08898,1.45013,2.70242,1.35841,0.008548,0.008548,0.008548
46,393.747,1.55851,2.60074,1.43199,0.01438,0.95833,0.26052,0.10369,1.32823,2.61961,1.30158,0.008515,0.008515,0.008515
47,402.474,1.70306,2.32087,1.56938,0.13764,0.16667,0.09082,0.03968,1.39747,6.46168,1.35136,0.008482,0.008482,0.008482
48,410.954,1.51263,3.15104,1.4745,0.13707,0.20833,0.07556,0.03805,1.4163,24.1995,1.37116,0.008449,0.008449,0.008449
49,419.33,1.38173,3.2435,1.35286,0.09096,0.33333,0.21865,0.07969,1.46987,4.51723,1.41053,0.008416,0.008416,0.008416
50,427.752,1.63439,2.31733,1.57768,0.00226,0.95833,0.22709,0.09456,1.36038,2.80527,1.37612,0.008383,0.008383,0.008383
51,436.119,1.56065,2.15262,1.39998,0.16341,0.16667,0.1176,0.0501,1.47849,6.01,1.39747,0.00835,0.00835,0.00835
52,444.972,1.69502,2.20675,1.41675,0.16769,0.5,0.16142,0.06961,1.49139,5.90044,1.3779,0.008317,0.008317,0.008317
53,453.451,1.63386,2.39855,1.58749,0.46202,0.16667,0.22371,0.08712,1.41785,4.33542,1.35505,0.008284,0.008284,0.008284
54,461.935,1.86646,2.2818,1.7705,0.2605,0.20833,0.20687,0.08266,1.41275,4.07855,1.33081,0.008251,0.008251,0.008251
55,470.365,1.67435,2.4791,1.58344,0.37965,0.20833,0.19593,0.08424,1.36691,2.69942,1.32829,0.008218,0.008218,0.008218
56,478.742,1.24213,1.99545,1.13064,0.00585,0.95833,0.19909,0.06625,1.34104,2.49619,1.32638,0.008185,0.008185,0.008185
57,487.134,1.34777,1.88259,1.26922,0.1956,0.20833,0.23837,0.101,1.3555,2.48609,1.30591,0.008152,0.008152,0.008152
58,495.44,1.63832,2.0319,1.42961,0.16217,0.33333,0.22964,0.10574,1.38112,2.50588,1.30812,0.008119,0.008119,0.008119
59,503.815,1.68391,2.18333,1.61416,0.59786,0.125,0.21276,0.09535,1.34049,2.84624,1.30397,0.008086,0.008086,0.008086
60,512.242,1.90063,2.30195,1.82204,0.3137,0.125,0.20932,0.09922,1.3116,4.57511,1.29629,0.008053,0.008053,0.008053
61,520.673,1.69384,2.12961,1.5099,0.16975,0.375,0.16168,0.07215,1.35434,4.84271,1.30887,0.00802,0.00802,0.00802
62,529.128,1.57164,2.06105,1.38827,0.36737,0.16667,0.20958,0.08314,1.30139,3.04519,1.29124,0.007987,0.007987,0.007987
63,537.575,1.92439,2.48979,1.70838,0.30628,0.25,0.27428,0.1063,1.30205,2.28998,1.26257,0.007954,0.007954,0.007954
64,546.304,1.64776,2.17826,1.56231,0.15753,0.16667,0.19214,0.07796,1.27297,5.23307,1.27152,0.007921,0.007921,0.007921
65,554.731,1.62602,2.19737,1.41372,0.12327,0.16667,0.13128,0.06353,1.4976,4.24917,1.40612,0.007888,0.007888,0.007888
66,563.177,1.81611,2.27332,1.65171,0.19978,0.16667,0.18556,0.09028,1.43232,2.29296,1.37278,0.007855,0.007855,0.007855
67,571.585,1.40382,2.24141,1.37991,0.30039,0.20833,0.24234,0.09223,1.40973,3.20515,1.34656,0.007822,0.007822,0.007822
68,580,1.68763,2.13389,1.53337,0.24327,0.25,0.21572,0.09174,1.43068,2.64475,1.31763,0.007789,0.007789,0.007789
69,588.387,1.70456,2.01313,1.56055,0.19003,0.125,0.16767,0.06621,1.39466,3.70615,1.27099,0.007756,0.007756,0.007756
70,596.826,1.68124,2.33,1.44506,0.1209,0.20833,0.16671,0.07634,1.42266,2.31271,1.33257,0.007723,0.007723,0.007723
71,605.156,1.30769,1.81194,1.25565,0.07428,0.70833,0.23804,0.08019,1.37231,2.51318,1.35756,0.00769,0.00769,0.00769
72,613.562,1.42112,2.00024,1.30501,0.21862,0.25,0.26061,0.09581,1.37242,4.67674,1.332,0.007657,0.007657,0.007657
73,622.017,1.7079,2.23998,1.65211,0.19745,0.20833,0.24412,0.09816,1.31524,2.90465,1.28906,0.007624,0.007624,0.007624
74,630.494,1.65032,2.33265,1.48659,0.22652,0.25,0.23358,0.10486,1.36311,2.647,1.28225,0.007591,0.007591,0.007591
75,639.449,1.68075,2.03369,1.45571,0.27741,0.12822,0.20326,0.06437,1.43407,3.00945,1.32499,0.007558,0.007558,0.007558
