epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,597.142,1.61627,2.09474,1.99405,0.09891,0.08333,0.10005,0.03036,1.50439,2.90088,2.04827,0.008548,0.008548,0.008548
46,610.425,1.72536,2.32234,2.04797,0.14947,0.41667,0.14073,0.0445,1.51141,6.47437,2.01098,0.008515,0.008515,0.008515
47,623.687,1.86956,2.33289,2.40874,0.21657,0.29167,0.18501,0.06476,1.54836,6.78614,2.03644,0.008482,0.008482,0.008482
48,636.959,1.62288,2.07598,2.09909,0.1222,0.58333,0.16613,0.07384,1.41677,9.04605,1.93533,0.008449,0.008449,0.008449
49,650.182,1.57041,2.14178,1.9274,0.12875,0.54167,0.12742,0.05032,1.45877,2.82901,1.96257,0.008416,0.008416,0.008416
50,663.426,1.83276,2.35202,2.23775,0.0794,0.66667,0.14715,0.05374,1.50464,2.62988,2.00546,0.008383,0.008383,0.008383
51,676.647,1.87906,2.36197,2.10913,0.17133,0.45659,0.12547,0.03976,1.53875,4.48156,2.03998,0.00835,0.00835,0.00835
52,689.874,1.74627,2.39846,2.05737,0.1033,0.41667,0.07541,0.02621,1.52882,6.92677,2.04774,0.008317,0.008317,0.008317
53,703.111,1.74676,2.27895,2.09528,0.04255,0.04167,0.05452,0.0208,1.53748,2.8358,2.05701,0.008284,0.008284,0.008284
54,716.407,2.00943,2.53604,2.44511,0.05222,0.5,0.06202,0.02536,1.56455,3.39387,2.09991,0.008251,0.008251,0.008251
55,729.697,1.83517,2.57699,2.2699,0.11888,0.41667,0.15349,0.05361,1.48423,4.01709,2.05391,0.008218,0.008218,0.008218
56,742.973,1.42633,2.04873,1.70129,0.17341,0.29167,0.21071,0.07233,1.46845,6.6184,2.00588,0.008185,0.008185,0.008185
57,756.155,1.45333,2.01297,1.79506,0.05468,0.83333,0.12549,0.04649,1.45744,2.74589,2.01034,0.008152,0.008152,0.008152
58,769.358,1.818,2.21537,2.05594,0.03414,0.91667,0.12389,0.05142,1.49856,2.31559,2.00843,0.008119,0.008119,0.008119
59,782.626,1.84586,2.25925,2.2514,0.17774,0.375,0.15102,0.05595,1.47357,2.39752,1.99655,0.008086,0.008086,0.008086
60,795.949,2.10436,2.36773,2.60432,0.18585,0.33333,0.18418,0.06882,1.38633,2.61362,1.95267,0.008053,0.008053,0.008053
61,809.316,1.88746,2.25297,2.25334,0.18122,0.29167,0.18924,0.07715,1.41328,2.54577,1.95204,0.00802,0.00802,0.00802
62,822.579,1.78148,2.17729,2.05966,0.18459,0.28317,0.14849,0.05556,1.37479,3.18653,1.94491,0.007987,0.007987,0.007987
63,835.854,2.1176,2.6613,2.43678,0.14985,0.25,0.12504,0.04514,1.36388,3.70317,1.9767,0.007954,0.007954,0.007954
64,849.135,1.7683,2.33224,2.29935,0.08562,0.35126,0.09987,0.04644,1.3843,3.53504,1.98854,0.007921,0.007921,0.007921
65,862.436,1.74073,2.08244,2.10938,0.12631,0.33333,0.15109,0.06105,1.57,2.38274,2.04887,0.007888,0.007888,0.007888
66,875.746,2.08364,2.46448,2.41777,0.17256,0.33899,0.14048,0.04031,1.85476,2.38227,2.28795,0.007855,0.007855,0.007855
67,888.971,1.67733,2.52073,2.03285,0.12066,0.29167,0.09235,0.03239,1.88763,4.45569,2.25932,0.007822,0.007822,0.007822
68,902.207,1.76462,2.45884,2.08823,0.10346,0.40399,0.08512,0.0331,1.62379,8.82574,2.05826,0.007789,0.007789,0.007789
69,915.517,1.67588,2.08888,2.05931,0.06148,0.48045,0.05379,0.02247,1.35747,19.215,1.90786,0.007756,0.007756,0.007756
70,928.736,1.70938,2.24304,1.96748,0.06111,0.125,0.06478,0.02265,1.40676,4.62549,1.95305,0.007723,0.007723,0.007723
71,941.868,1.32356,2.00812,1.70181,0.13974,0.54167,0.14176,0.04923,1.57548,2.81718,2.00055,0.00769,0.00769,0.00769
72,955.15,1.69637,2.13416,1.97198,0.17347,0.25,0.09188,0.03723,1.59065,3.65282,2.0216,0.007657,0.007657,0.007657
73,968.468,1.9252,2.29311,2.40425,0.30545,0.16667,0.13061,0.04537,1.6233,2.90068,2.05171,0.007624,0.007624,0.007624
74,981.695,1.86969,2.59533,2.17781,0.18047,0.29167,0.12295,0.04655,1.52128,2.51667,1.97243,0.007591,0.007591,0.007591
75,994.938,1.79626,2.19086,2.08007,0.08349,0.58333,0.0976,0.04064,1.44319,2.6945,1.90825,0.007558,0.007558,0.007558
76,1008.3,1.84311,2.30948,2.15536,0.13157,0.375,0.10273,0.0466,1.44423,3.78666,1.92376,0.007525,0.007525,0.007525
77,1021.51,1.35171,2.06268,1.55509,0.12717,0.45833,0.09556,0.04048,1.46089,5.51172,1.94067,0.007492,0.007492,0.007492
78,1034.72,1.59564,2.35541,1.96839,0.10272,0.16667,0.08528,0.03304,1.57027,3.13292,2.00895,0.007459,0.007459,0.007459
79,1047.94,1.62825,2.06402,2.03113,0.17327,0.20833,0.13565,0.05479,1.45473,2.61509,1.9466,0.007426,0.007426,0.007426
80,1061.17,1.69701,2.22481,1.94619,0.12615,0.09056,0.10385,0.041,1.4186,2.89539,1.91274,0.007393,0.007393,0.007393
81,1074.41,1.56197,2.03094,1.88749,0.02937,0.875,0.11312,0.04241,1.39776,2.99389,1.89165,0.00736,0.00736,0.00736
82,1087.72,1.83589,2.42262,2.13773,0.09262,0.20833,0.08414,0.03333,1.47901,5.09977,1.96919,0.007327,0.007327,0.007327
83,1101.04,1.7367,2.29629,2.17222,0.20435,0.375,0.14576,0.05344,1.50653,4.13016,2.00156,0.007294,0.007294,0.007294
84,1114.29,1.82215,2.63129,2.14016,0.24071,0.54167,0.17297,0.06097,1.49062,3.12505,1.96248,0.007261,0.007261,0.007261
85,1127.48,1.34611,1.9264,1.72693,0.13695,0.41667,0.14298,0.05333,1.45569,2.48661,1.92179,0.007228,0.007228,0.007228
86,1140.74,1.45425,2.12461,1.73778,0.1626,0.35619,0.12385,0.04133,1.43949,2.54712,1.90716,0.007195,0.007195,0.007195
87,1154,1.58188,2.16398,2.06562,0.24601,0.33333,0.15753,0.06047,1.42949,2.39605,1.88983,0.007162,0.007162,0.007162
88,1167.27,1.52907,2.00273,1.8483,0.25781,0.25,0.17681,0.06267,1.49956,2.42347,1.91067,0.007129,0.007129,0.007129
89,1180.58,1.94121,2.29892,2.21933,0.22353,0.54167,0.21252,0.05873,1.42526,7.23722,1.84793,0.007096,0.007096,0.007096
90,1194.04,1.77656,2.38664,2.13797,0.09432,0.29167,0.06174,0.01874,1.45945,49.8854,1.89829,0.007063,0.007063,0.007063
91,1207.44,1.71484,2.32292,2.07117,0.13225,0.125,0.06959,0.0187,1.44816,13.0583,1.87772,0.00703,0.00703,0.00703
92,1220.78,1.6476,2.24585,2.15651,0.11863,0.20833,0.11714,0.02932,1.37189,5.41235,1.8598,0.006997,0.006997,0.006997
93,1234.05,1.79083,2.20096,2.05944,0.17271,0.45833,0.13485,0.05161,1.46674,3.2243,1.92012,0.006964,0.006964,0.006964
94,1247.37,1.61367,2.05587,2.22854,0.13964,0.375,0.12799,0.05174,1.5234,2.97414,1.94327,0.006931,0.006931,0.006931
95,1260.65,1.62885,2.40424,2.05456,0.0854,0.45833,0.12595,0.04554,1.52908,2.7067,1.96107,0.006898,0.006898,0.006898
